param d:     1    2:=
1 50.0 1.526
2 1.0 1.76286
3 2.0 2.92254
4 47.0 2.49139
5 1.0 3.93976
6 32.0 2.92064
7 23.0 4.31457
8 15.0 3.83962
9 4.0 4.57588
10 8.0 3.52257
11 8.0 4.98055
12 6.0 3.83745
13 14.0 2.48916
14 3.0 4.31264
15 3.0 4.57526
16 3.0 4.31071
17 3.0 3.83601
18 2.0 4.31263
19 1.0 4.57587
20 2.0 3.52256
21 5.0 2.91684
22 1.0 2.48693
23 1.0 2.91778
24 3.0 3.52098
25 3.0 2.91968
26 2.0 4.57043
27 3.0 4.30878
28 1.0 3.83311
29 3.0 2.4847
30 1.0 3.5194
31 1.0 4.57465
32 1.0 4.31392
33 1.0 4.57044
34 1.0 3.51787
35 2.0 2.91495
36 1.0 2.48359
37 1.0 1.51874
38 1.0 2.48694
39 1.0 2.91682
40 1.0 4.31198
41 3.0 4.98278
42 1.0 4.57409
43 4.0 3.51944
44 2.0 2.9159
45 1.0 2.48808
46 1.0 2.9178
47 1.0 2.48581
48 1.0 3.83527
49 1.0 4.57406
50 1.0 4.30879
51 1.0 3.83458
52 3.0 4.31136
53 3.0 3.83456
54 1.0 4.97943
55 1.0 4.30815
56 1.0 4.57164
57 2.0 4.31006
58 1.0 4.57528
59 3.0 3.521
60 3.0 2.9197
61 2.0 4.57103
62 1.0 4.31008
63 2.0 4.312
64 1.0 3.83674
65 1.0 4.57467
66 2.0 2.91874
67 1.0 3.51785
68 1.0 2.48582
69 2.0 2.91779
70 2.0 2.48917
71 1.0 2.92159
72 1.0 2.49138
73 1.0 1.52417
74 2.0 2.49026
75 3.0 4.57346
76 2.0 3.51943
77 2.0 2.91971
78 4.0 2.49029
79 4.0 1.52236
80 2.0 2.49027
81 1.0 3.52414
82 1.0 4.5789
83 1.0 4.31714
84 1.0 3.84106
85 2.0 2.49249
86 1.0 2.92158
87 2.0 1.52235
88 1.0 4.57407
89 2.0 3.51942
90 2.0 2.9216
91 1.0 4.31649
92 1.0 4.57769
93 1.0 4.31585
94 1.0 2.92253
95 1.0 2.49137
96 1.0 1.52599
97 2.0 0.00446
98 1.0 4.31651
99 1.0 2.4925
100 1.0 2.9254
101 1.0 3.52729
102 1.0 2.92348
103 2.0 4.31713
104 1.0 3.84033
105 4.0 2.48805
106 1.0 4.3165
107 1.0 3.84253
108 1.0 2.49364
109 1.0 1.52965
110 1.0 2.49807
111 1.0 2.92728
112 2.0 2.49472
113 1.0 3.84177
114 1.0 4.98611
115 2.0 4.57889
116 3.0 4.31584
117 2.0 2.92063
118 1.0 4.98502
119 2.0 3.84109
120 1.0 2.49363
