param d:     1    2:=
1 50.0 1.526
2 1.0 1.76286
3 47.0 2.49139
4 1.0 1.76128
5 23.0 2.92064
6 1.0 2.92159
7 7.0 3.52256
8 1.0 3.93906
9 5.0 4.57587
10 20.0 4.31457
11 23.0 3.83962
12 1.0 3.83817
13 1.0 4.31263
14 4.0 4.57526
15 13.0 4.98278
16 3.0 4.57588
17 2.0 3.52257
18 3.0 4.57648
19 4.0 4.98055
20 4.0 4.31392
21 2.0 2.91968
22 4.0 2.48916
23 1.0 3.83818
24 1.0 2.9197
25 1.0 4.31328
26 1.0 2.91874
27 1.0 3.521
28 3.0 4.31264
29 1.0 4.57406
30 1.0 4.57344
31 1.0 4.3107
32 3.0 3.83745
;
param m :=32;
param l :=50;
end;
