param d:     1    2:=
1 50.0 1.526
2 1.0 1.76286
3 47.0 2.49139
4 1.0 3.052
5 11.0 3.83962
6 15.0 4.31457
7 36.0 2.92064
8 1.0 3.93835
9 7.0 3.83745
10 14.0 2.48916
11 5.0 4.57649
12 9.0 4.31393
13 9.0 2.9197
14 10.0 3.52257
15 1.0 3.93837
16 3.0 3.83892
17 5.0 2.49029
18 2.0 3.83964
19 1.0 4.31588
20 1.0 2.92161
21 2.0 1.52236
22 1.0 4.31523
23 1.0 4.98168
24 1.0 3.83746
25 1.0 4.31136
26 1.0 4.57468
27 1.0 4.31007
28 1.0 3.83311
29 2.0 4.97832
30 1.0 4.97608
31 1.0 4.97497
32 1.0 4.57528
33 2.0 4.31264
34 2.0 4.98278
35 1.0 4.97834
36 2.0 4.31265
37 2.0 4.57405
38 1.0 4.56982
39 1.0 4.31138
40 1.0 3.83458
41 1.0 4.30684
42 1.0 4.56858
43 1.0 2.91779
44 1.0 3.51941
45 3.0 4.3133
46 1.0 4.57162
47 1.0 4.30876
48 1.0 4.98166
49 1.0 3.83963
50 1.0 2.49028
51 1.0 2.91873
52 3.0 3.52098
53 2.0 2.91874
54 1.0 2.48804
55 1.0 1.52235
56 1.0 4.9839
57 1.0 3.8389
58 1.0 4.31391
59 1.0 4.57647
60 6.0 3.52256
61 4.0 2.91968
62 1.0 2.49026
63 1.0 4.31649
64 1.0 4.57707
65 1.0 4.31584
66 1.0 2.92158
67 1.0 2.48914
68 1.0 2.92063
69 3.0 4.57587
70 1.0 4.57951
71 1.0 4.31648
72 1.0 3.8425
73 1.0 2.49584
74 1.0 1.52599
75 2.0 2.49138
76 1.0 2.91778
77 1.0 4.31263
78 2.0 4.57526
79 1.0 4.31905
80 1.0 2.92633
81 1.0 3.83961
82 1.0 4.31198
83 1.0 4.58253
84 1.0 3.53045
85 1.0 2.92349
86 2.0 4.31585
87 1.0 4.57344
88 1.0 4.58436
89 1.0 3.52729
90 1.0 4.57829
91 1.0 4.31199
92 1.0 4.58011
93 1.0 4.31583
94 2.0 4.98053
95 1.0 4.98499
96 1.0 3.84033
97 1.0 4.31519
98 1.0 3.83743
99 1.0 4.57466
100 1.0 3.52099
101 1.0 4.98611
102 1.0 4.57527
103 1.0 4.31328
104 1.0 3.83818
105 5.0 4.98055
106 2.0 4.97944
107 3.0 4.57588
108 2.0 4.57648
109 2.0 4.31392
110 1.0 4.57345
111 1.0 4.9828
112 1.0 4.57225
113 1.0 4.31267
114 1.0 3.83675
115 1.0 4.57041
116 1.0 3.51784
117 1.0 2.91781
118 1.0 2.48694
119 1.0 3.83456
120 1.0 4.3107
121 2.0 4.57406
122 2.0 3.521
123 1.0 3.51942
124 2.0 2.92066
125 1.0 2.49365
126 1.0 1.52604
127 1.0 2.48806
128 1.0 2.91684
;
param m :=128;
param l :=50;
end;
